ID;Title;Album;Year;Artist
LYR.LLI.1;Do You Love Me?;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.2;Nobady's Baby Now;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.3;Loverman;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.4;Jangling Jack;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.5;Red Right Hand;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.6;I Let Love In;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.7;Thirsty Dog;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.8;Ain't Gonna Rain;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.9;Lay Me Low;Let Love In;1994;Nick Cave and the Bad Seeds
LYR.LLI.10;Do You Love Me? (Part 2);Let Love In;1994;Nick Cave and the Bad Seeds
LYR.MB.1;Song Of Joy;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.2;Stagger Lee;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.3;Henry Lee;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.4;Lovely Creature;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.5;Where the Wild Roses Grow;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.6;The Curse of Millhaven;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.7;The Kindness of Strangers;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.8;Crow Jane;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.9;O' Malley's Bar;Murder Ballads;1996;Nick Cave and the Bad Seeds
LYR.MB.10;Death is Not the End;Murder Ballads;1996;Nick Cave and the Bad Seeds
